,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
JK25,2.47E+07,510942,4229.18,62.6104,201.251,13.7616,116.966,12.1239,270.625,31.3574,444.088,84.9276,553.311,45.8876,2.48E+07,510923,21.105,1.64756,1,0,2.47E+07,510950,26.5401,62.5322,193.609,13.7874,111.157,12.1172,258.132,31.3744,442.719,84.9271,551.688,45.8884,2.47E+07,510935,0.409246,0.0334536,2132.73,149.832,30.8399,3.43392,3280.71,128.173,-17.4074,7.01765,14397.6,2213.06,0.971779,0.0848893,0.0899073,4171.61,282.392,25.6707,3.07352,3.16707,3073.16,132.196,-17.4074,7.01765,14397.6,2213.06,0.613828,0.0682729,0.068283,3996.48,132.428,1.53508,0.212373,-84.1491,25.3989,0.364903,0.0318831,0.0337678,1963.08,152.743,161.772,28.5781,3.42216,3.52632,3174.58,133.221,137.276,0.620578,0.0690237,0.069034,4005.8,132.433,132.453,4.08498,0.565164,0.598571,0.402743,0.445168
JK25,2.79E+07,525760,4377.68,70.2599,1139.71,27.2346,821.255,22.5621,1854.94,71.8887,98.8767,16.0813,1987.94,139.533,2.79E+07,525831,21.1056,1.6476,1,0,2.79E+07,525766,1.54793,70.1275,1132.09,27.2273,815.294,22.556,1841.15,71.8853,97.1466,16.0836,1986.09,139.555,2.79E+07,525838,0.759282,0.076043,3448.17,245.691,81.3403,9.58308,4244.78,101.791,-399.815,81.5026,52723,1956.71,1.71339,0.146042,0.155096,6165.25,310.27,61.8456,6.448,6.70561,4023.48,90.1777,-399.815,81.5026,52723,1956.71,0.732672,0.0258269,0.0258652,4619.01,42.1328,0.716693,0.04486,-336.1,85.4362,0.642328,0.0547304,0.0581237,3062.18,190.378,202.182,68.7504,7.16638,7.4527,4128.77,90.3231,93.9318,0.740717,0.0261104,0.0261491,4631.91,42.0219,42.0841,1.90984,0.119522,0.126933,-0.0769979,0.911332
JK25,2.67E+07,519689,4242.31,67.0142,461.893,63.3076,149.114,37.1392,919.53,174.887,5985.08,1206.68,1604.86,124.315,2.67E+07,519024,19.4093,1.67436,1,0,2.67E+07,521086,-143.109,67.2379,442.108,57.0667,142.193,37.2447,871.988,162.948,5976.56,1213.27,1602.28,124.987,2.67E+07,520420,0.291167,0.0240167,1599.62,113.843,12.4112,2.32004,2299.28,136.102,-2.38933,2.04269,4770.7,731.548,0.694779,0.0603422,0.0639495,3241.49,204.72,9.88931,1.72878,1.75366,2093.18,135.296,-2.38759,2.04275,4791.41,736.71,0.318163,0.0440062,0.0440105,2929.14,194.606,1.80385,0.142986,-46.1717,22.3131,0.260157,0.0225981,0.023949,1447.98,106.719,113.099,10.9836,1.92031,1.94794,2197.57,142.688,144.742,0.321653,0.044489,0.0444932,2947.38,194.194,194.213,4.81323,0.381511,0.404318,0.110924,0.681566
JK25,2.72E+07,652723,4359.89,71.518,1611.5,50.8657,1306.02,39.1584,2913.26,101.153,102.875,26.0645,1801.6,103.017,2.72E+07,652867,20.8935,1.6476,1,0,2.72E+07,652717,40.8698,71.5054,1605.76,50.8782,1298.31,39.1695,2899.23,101.151,100.031,26.0635,1799.14,103.023,2.72E+07,652858,1.00327,0.0563726,4370.98,174.367,112.528,7.03198,4723.68,60.4885,-503.755,82.7631,57187.5,3488.86,2.37111,0.130407,0.14909,7647.56,249.152,90.1103,5.42422,6.0511,4517.63,59.1595,-503.755,82.7631,57187.5,3488.86,0.812583,0.0243632,0.0244131,4735.38,39.3219,0.468645,0.0246849,-326.201,56.2184,0.886831,0.048775,0.055763,4016.72,165.177,188.842,99.9905,6.01906,6.71469,4622,59.2319,66.0774,0.821495,0.0246304,0.0246808,4740.84,39.5118,39.5927,1.25195,0.065944,0.0753918,0.16289,0.818368
JK25,2.81E+07,518483,4246.78,71.9784,858.231,29.408,687.17,30.5466,1544.8,83.7908,137.641,19.0083,860.483,65.0818,2.81E+07,518565,20.8935,1.6476,1,0,2.81E+07,518499,0.173662,71.9446,852.233,29.4015,679.042,30.5471,1530.42,83.8035,134.893,19.0061,858.588,65.0818,2.81E+07,518579,1.30977,0.130567,5118.68,337.33,153.46,19.1014,4860.75,107.472,-123.464,36.2396,47134,1957.64,3.16467,0.359081,0.371808,8575.83,487.581,129.527,18.2696,18.6719,4640.95,114.809,-123.464,36.2396,47134,1957.64,0.803792,0.0304185,0.0304575,4654.26,51.2648,0.450921,0.0351423,-49.064,16.2262,1.1826,0.134206,0.138963,4757.63,358.464,371.169,143.651,20.2633,20.7095,4744.69,114.929,117.46,0.812614,0.0307522,0.0307918,4663.8,51.4207,51.4868,1.20573,0.0939705,0.0973012,-0.175459,0.817807
JK25,2.85E+07,700997,4285.15,69.2847,2048.21,39.8379,1816.22,42.6281,4065.45,107.778,46.8927,10.1801,392.549,34.9965,2.86E+07,700949,21.1056,1.6476,1,0,2.85E+07,700989,143.075,69.6135,2042.82,39.8416,1808.03,42.6261,4048.84,107.751,45.0555,10.1859,390.378,35.0129,2.86E+07,700939,6.50759,0.505087,12543.2,421.56,796.731,63.5294,6681.22,83.0729,-1334.49,169.346,71216.2,1822.13,14.8494,1.00812,1.10504,17496.3,429.911,616.133,43.2366,46.9651,6455.95,74.2509,-1334.49,169.346,71216.2,1822.13,0.89037,0.0214473,0.0215152,4850.41,27.6082,0.0814748,0.00766358,-122.299,18.3429,5.5449,0.37641,0.412597,11837.9,370.108,405.69,683.073,47.9328,52.0662,6560.48,74.2646,80.6688,0.900158,0.0216831,0.0217518,4859.94,27.8968,27.9852,0.218002,0.020505,0.0224763,0.104211,0.935153
JK25,2.74E+07,659443,4235.88,61.5426,1145.64,43.4416,785.835,34.1852,1687.27,89.0218,18.9944,6.073,2765.48,160.026,2.74E+07,659532,21.1056,1.6476,1,0,2.74E+07,659431,-2.70835,62.3487,1139.74,43.4557,777.653,34.1847,1666.98,89.0578,18.3841,6.07126,2766.26,160.086,2.74E+07,659528,0.453984,0.0252284,2371.33,108.419,44.6864,3.24607,3767.99,71.9042,-2309.89,207.258,55596.3,2894.59,1.10362,0.0742525,0.081515,4646.73,220.654,37.1707,3.10503,3.29625,3550.86,81.9858,-2309.89,207.258,55596.3,2894.59,0.699187,0.0273485,0.0273814,4553.47,48.9713,1.0844,0.0678428,-4136.12,445.522,0.411922,0.027717,0.030428,2183.73,124.516,136.695,41.2075,3.44217,3.65416,3652.08,82.2444,87.3093,0.706892,0.0276498,0.0276831,4569.37,48.9298,48.9886,2.90298,0.181631,0.199396,-0.160031,0.890639
JK25,1.93E+07,267869,4629.54,128.718,1005.57,51.1256,827.417,38.1011,1889.27,136.193,562.264,261.502,604.7,114.434,1.93E+07,268042,35.2103,0.848442,1,0,1.93E+07,267872,362.298,128.743,997.77,51.1194,820.371,38.1048,1877.39,136.194,562.17,261.504,601.31,114.406,1.93E+07,268044,2.13665,0.309205,7017.34,627.517,247.854,38.3216,5464.32,158.689,-3087.96,1910.06,38256.7,6775.83,4.38345,0.615348,0.629683,10367.9,741.463,172.38,25.7112,26.2181,5107.35,152.609,-3087.96,1910.06,38256.7,6775.83,0.843706,0.0553641,0.0553877,4719.35,69.8729,0.275956,0.0421096,-511.43,341.317,1.6507,0.231749,0.237147,6008.97,553.506,566.4,193.8,28.9099,29.4799,5225.41,152.757,155.769,0.853889,0.0560321,0.0560561,4726.05,69.2698,69.2994,0.731949,0.111706,0.114308,0.164632,0.954997
JK25,2.56E+07,646989,4284.04,75.6103,919.363,55.4935,808.584,51.1456,1792.92,118.502,20.904,6.07877,170.337,9.33831,2.56E+07,647177,20.8935,1.6476,1,0,2.56E+07,646987,34.8892,75.6037,912.549,55.4784,800.57,51.1541,1780.25,118.525,20.64,6.07889,168.682,9.33653,2.56E+07,647175,6.22717,0.632003,11956.6,456.624,711.072,62.2239,6544.34,89.0361,-5109.85,583.682,58617.5,2939.69,15.2251,1.67395,1.73707,16812.4,557.883,592.004,58.7468,61.3325,6320.8,99.0463,-5109.85,583.682,58617.5,2939.69,0.897048,0.0341497,0.034193,4703.69,64.1873,0.0944306,0.00875443,-503.407,52.8453,5.74147,0.631111,0.654908,11368.9,496.679,515.407,666.689,66.1311,69.0419,6441.31,99.0371,103.396,0.907985,0.0345661,0.03461,4696.92,66.4292,66.5135,0.250039,0.0231738,0.0240476,0.22021,0.636444
JK25,2.79E+07,969645,4303.22,68.751,1648.33,60.7265,1491.2,54.077,3345.71,137.348,0,0,57.8652,5.76141,2.79E+07,969837,20.8935,1.6476,1,0,2.79E+07,969649,77.4,68.8149,1641.38,60.7423,1484.42,54.0322,3331.8,137.363,-0.06679,0.00654205,55.6459,5.7645,2.79E+07,969840,-20.5776,29.2717,22179.2,601.347,-1308.04,3257.89,8357.87,100.759,-88396,17588,72155.4,4193.32,-47.2714,69.8803,69.8952,27573,639.335,-1358.99,2725.45,2725.75,8133.55,104.437,-88396,17588,72155.4,4193.32,0.916017,0.0234018,0.0234677,4837.17,34.747,0.0152577,0.00177728,-1807.55,503.522,-17.867,26.409,26.4146,21394.1,642.032,642.169,-1535.04,3077.41,3077.75,8256.8,104.424,104.436,0.927332,0.0236912,0.0237579,4849.58,35.1633,35.2624,0.0403149,0.00469493,0.00469593,-0.0268439,0.988079
JK25,2.83E+07,922500,4236.72,68.6179,783.47,34.8566,677.449,29.7421,1543.68,78.2873,35.5932,11.0426,341.69,21.1964,2.83E+07,922608,21.105,1.64756,1,0,2.83E+07,922497,37.9848,68.6001,776.145,34.8503,672.516,29.7313,1529.21,78.289,35.4066,11.0447,339.199,21.1825,2.83E+07,922605,2.44958,0.140684,7909.22,282.133,295.872,17.7001,5726.18,59.8921,-8530.22,1492.49,49711.2,3246.79,5.81096,0.335731,0.379577,12224.4,337.853,237.828,14.1011,15.7782,5509.76,62.8082,-8530.22,1492.49,49711.2,3246.79,0.887277,0.0335228,0.033566,4722.6,41.7643,0.18919,0.0110828,-1807,332.728,2.20072,0.12713,0.143733,7419.01,275.876,311.905,269.178,15.9585,17.8565,5634.95,62.8299,70.3025,0.89837,0.0339422,0.033986,4723.44,41.4779,41.5314,0.498845,0.029213,0.0330282,0.29126,0.787156
JK25,2.62E+07,964336,4274.18,68.1799,1174.24,42.0431,684.463,27.2774,1497.33,80.0864,15.6425,5.41529,4145.51,318.563,2.62E+07,964672,20.9995,1.65215,1,0,2.62E+07,964332,55.1637,68.198,1167.33,42.0402,679.144,27.2811,1483.12,80.0832,14.5619,5.41471,4143.33,318.577,2.62E+07,964668,0.319962,0.0160993,1768.13,78.207,27.8531,2.02464,3283.86,80.3917,-1160.46,108.15,55291.8,2616.82,0.745865,0.0343559,0.0411951,3537.16,125.203,21.9407,1.53758,1.67052,3070.07,73.1538,-1160.46,108.15,55291.8,2616.82,0.606197,0.0275664,0.0275909,4341.42,61.528,1.46901,0.072198,-3516.8,429.526,0.283111,0.0130422,0.0156385,1592.25,64.8278,77.733,24.8966,1.74482,1.89568,3191.72,73.6703,80.0398,0.613865,0.0279157,0.0279406,4359.86,61.4644,61.5191,3.86492,0.189987,0.227808,-0.213488,0.575928
JK25,2.81E+07,837532,4325.85,60.7447,1322.85,54.2056,1127.2,44.5735,2534.9,114.768,9.60452,4.40489,198.54,12.4614,2.81E+07,837675,21.105,1.64756,1,0,2.81E+07,837540,102.491,60.7963,1316.14,54.2016,1121.49,44.5661,2521.73,114.748,7.41453,4.40499,195.766,12.458,2.81E+07,837683,7.63472,0.545901,13473.5,367.278,900.753,65.6269,6823.21,64.8237,-1042.52,80.1668,63426.6,4720.62,18.0645,1.29305,1.40538,18490.4,406.916,724.457,52.9737,57.1942,6598.4,66.7414,-1042.52,80.1668,63426.6,4720.62,0.87784,0.0277275,0.0277786,4769.57,35.1881,0.0666417,0.00479718,-81.1899,7.60579,6.8731,0.491926,0.534658,12876.4,370.607,402.8,824.203,60.2606,65.0618,6729.21,66.7398,72.0571,0.889069,0.0280823,0.0281341,4773.66,35.0589,35.1235,0.174891,0.0125845,0.0136777,0.128429,0.998347
JK25,2.91E+07,945230,4293.48,63.9114,894.446,35.4501,761.141,31.5539,1748.17,84.5812,21.4689,6.91231,240.001,12.4855,2.91E+07,945326,21.1056,1.6476,1,0,2.91E+07,945229,18.0208,63.8727,887.754,35.4539,755.579,31.5601,1735.73,84.5802,18.5082,6.91079,237.473,12.4849,2.91E+07,945326,4.17412,0.306542,10209.7,378.147,497.752,38.3059,6202.13,79.0196,-482.073,46.6513,52176.3,3220.11,10.0079,0.82342,0.878094,14924.6,475.284,396.247,31.8652,33.9778,5978.35,88.3264,-482.073,46.6513,52176.3,3220.11,0.866059,0.0315218,0.0315656,4705.77,43.5293,0.128036,0.0106162,-62.616,6.20323,3.81638,0.313856,0.334696,9716.34,417.962,445.714,451.921,36.3274,38.7359,6111.53,88.3244,94.1802,0.877247,0.0319293,0.0319736,4720.77,43.4792,43.5396,0.335196,0.0277807,0.0296253,0.171317,0.914946
JK25,3.00E+07,966045,4289.19,67.7342,864.474,32.8069,733.393,34.2284,1645.06,78.2844,17.6136,5.69486,127.571,11.0866,3.00E+07,966105,21.105,1.64756,1,0,3.00E+07,966043,49.0897,67.7559,857.639,32.8069,727.206,34.2366,1632.36,78.2881,14.4582,5.69471,124.407,11.0775,3.00E+07,966100,10.947,1.59062,14237.6,684.839,1305.26,196.59,6936.57,129.92,-401.503,38.5189,58196.9,2080.74,26.1472,3.69408,3.77905,19241.5,797.714,1095.09,172.543,175.595,6711.87,139.645,-401.503,38.5189,58196.9,2080.74,0.869178,0.0345994,0.0346396,4722.93,44.5884,0.0723122,0.00869009,-32.457,4.06172,9.99437,1.41184,1.44431,13707.4,729.104,745.875,1252.06,197.24,200.729,6847.81,139.639,142.108,0.880505,0.0350501,0.0350908,4735.11,44.6692,44.721,0.188839,0.0226857,0.0232076,0.0194431,0.949749
JK25,2.90E+07,997625,4260.97,70.243,894.111,40.5985,751.372,38.4032,1707.39,97.0616,75.5556,11.857,410.007,36.0198,2.90E+07,997716,21.1056,1.6476,1,0,2.90E+07,997628,53.4983,69.9575,887.122,40.6066,744.384,38.4182,1694.5,97.0601,72.714,11.8565,407.007,36.0374,2.90E+07,997721,2.98995,0.273199,8239.01,485.721,351.98,33.801,5728.95,122.811,-240.537,47.5519,54169.6,1961.7,7.42379,0.732557,0.7667,12489.9,664.316,297.751,30.6168,31.8737,5507.45,135.25,-240.537,47.5519,54169.6,1961.7,0.85297,0.0340397,0.034079,4700.85,59.2133,0.248744,0.0341929,-61.9871,13.7503,2.84439,0.280602,0.293681,7896.31,518.141,542.29,341.278,35.0842,36.5244,5645.32,135.323,140.878,0.864168,0.0344863,0.0345262,4699.7,61.0006,61.0711,0.647994,0.0890473,0.0931976,-0.0867688,0.826264
JK25,3.15E+07,1.17E+06,4355.45,70.6451,947.972,53.2978,795.646,49.8854,1735.33,119.999,7.82123,4.01387,320.005,37.3203,3.15E+07,1.17E+06,21.105,1.64756,1,0,3.15E+07,1.17E+06,104.335,70.7823,940.311,53.3112,788.698,49.8668,1723.05,119.979,5.57949,4.01426,317.927,37.3232,3.15E+07,1.17E+06,5.02339,0.607076,10235.2,693.433,593.987,72.935,6095.91,158.566,-692.834,57.4539,56558.7,5741.4,12.7229,1.67931,1.72349,14731.5,884.987,511.099,67.8434,69.5281,5873.41,172.267,-692.834,57.4539,56558.7,5741.4,0.857055,0.035067,0.0351056,4694.04,53.008,0.210853,0.0358739,-126.436,16.6748,4.88643,0.644789,0.661754,9881.31,737.604,757.011,587.26,77.9332,79.8684,6013.91,172.352,176.632,0.868376,0.0355301,0.0355691,4709.82,53.1386,53.197,0.547909,0.0931978,0.0956499,-0.155315,0.956629
JK25,3.64E+07,909568,4152.93,105.722,1119.65,308.66,875.011,226.897,2229.18,713.864,11.9048,6.94586,458.629,24.7345,3.64E+07,908540,8.60518,1.15023,1,0,3.66E+07,829470,-60.7342,105.02,964.859,224.285,785.109,161.936,1795.19,415.633,8.86855,6.78586,456.496,25.3437,3.66E+07,828954,2.24964,0.56156,6670.02,635.528,254.329,57.4717,5451.43,157.758,-605.417,96.8795,73322.9,12799.6,6.23768,1.68252,1.69323,11202.4,820.101,236.771,57.4399,57.8706,5349.76,165.967,-604.605,97.1952,73991.9,13447.6,0.853005,0.0558942,0.0559181,4642.89,78.0212,0.24383,0.0270033,-201.977,21.1265,2.40085,0.64747,0.651589,6801.54,683.992,688.344,272.647,66.13,66.6258,5492.27,166.024,167.269,0.864316,0.0566355,0.0566598,4661.9,77.9449,77.9783,0.632495,0.0700356,0.0704812,0.0503734,0.990379
JK25,2.43E+07,588351,4150.94,68.1229,391.784,18.9693,190.056,11.5358,455.317,40.5389,524.209,187.727,1606.14,71.2986,2.43E+07,588269,20.8935,1.6476,1,0,2.43E+07,588359,-16.7141,68.1749,385.58,18.9589,183.456,11.5527,445.075,40.539,521.67,187.72,1603.92,71.3134,2.43E+07,588276,0.244386,0.0109731,1412.49,59.236,16.3846,1.02321,2840.33,59.4691,-53.5357,12.8597,17242.9,2430.34,0.584757,0.0295312,0.0344919,2933.76,119.485,13.0423,0.827815,0.914318,2626.92,64.8803,-53.5357,12.8597,17242.9,2430.34,0.492828,0.0289715,0.028987,4057.86,81.4465,1.86248,0.0962879,-252.56,51.0083,0.225756,0.011396,0.0133103,1307.45,60.4101,70.5579,15.0629,0.955763,1.05564,2761.88,65.6166,72.4732,0.499384,0.029357,0.0293726,4077.6,81.346,81.3893,4.81715,0.248938,0.290754,0.251337,0.664074
JK25,2.44E+07,525885,4210.17,61.6549,296.763,24.0816,148.315,13.6079,302.814,36.2894,16.1111,5.49564,1075.86,101.204,2.45E+07,525794,20.8935,1.6476,1,0,2.44E+07,525887,116.061,61.7696,291.074,24.085,140.484,13.602,292.283,36.2876,12.8037,5.49658,1073.43,101.221,2.44E+07,525795,0.299993,0.025524,1641.94,116.013,19.8003,1.90924,2934.85,101.207,-68.6638,10.4958,27440.4,3397.59,0.725728,0.0685243,0.0720054,3331.69,221.418,15.9886,1.66304,1.72979,2730.47,104.034,-68.6638,10.4958,27440.4,3397.59,0.541858,0.0554157,0.0554254,3904.84,133.78,1.76205,0.135131,-255.879,31.5445,0.280825,0.0265062,0.0278528,1541.36,121.114,127.267,18.5063,1.92427,2.00151,2867.04,105.265,109.49,0.549071,0.0561533,0.0561632,3898.03,138.82,138.845,4.54674,0.348619,0.366329,0.58112,0.078903
JK25,2.66E+07,571988,4152.61,69.5302,1819.35,54.5522,1529.2,44.1351,3516.89,135.739,695.133,363.913,1165.52,104.803,2.66E+07,572497,20.8935,1.6476,1,0,2.66E+07,571989,194.222,69.6634,1813.89,54.5521,1520.97,44.1339,3506.13,135.742,691.659,363.912,1162.85,104.847,2.66E+07,572507,2.75359,0.356613,7564.9,515.691,332.251,46.0994,5569.74,122.605,-515.356,72.885,47280.7,5588.08,6.02185,0.682867,0.707098,11650.8,555.728,249.352,31.1862,32.0572,5347.79,110.041,-515.356,72.885,47280.7,5588.08,0.840753,0.0213061,0.0213671,4808.48,29.3694,0.242813,0.0185123,-133.846,27.2663,2.33614,0.265026,0.27443,7135.11,446.215,462.049,289.294,36.1936,37.2044,5497.58,110.146,113.222,0.851925,0.0215891,0.0216509,4813.02,29.6006,29.6853,0.625265,0.0476804,0.0493723,-0.11284,0.964862
JK25,2.73E+07,564308,4230.41,72.0372,834.472,30.9971,758.906,29.1874,1738.67,75.531,0,0,179.548,11.2859,2.73E+07,564374,21.1056,1.6476,1,0,2.73E+07,564299,-293.219,73.6444,828.383,31.0201,750.61,29.1929,1727.37,75.5421,-2.7851,0.0247278,175.575,11.2804,2.73E+07,564384,5.25574,0.33774,11588.8,323.202,655.114,42.4145,6523.71,66.2873,-613.559,24.5687,61467.3,2556.79,12.4699,0.808702,0.893548,16443.6,368.162,532.888,35.8765,39.2262,6300.35,68.0225,-613.559,24.5687,61467.3,2556.79,0.92643,0.0317484,0.0317981,4735.26,47.2313,0.0925503,0.00614223,-60.1018,4.06691,4.84729,0.314319,0.347296,11144.6,326.595,360.86,619.328,41.6925,45.5853,6452.7,68.0342,74.3865,0.938692,0.0321684,0.0322188,4749.83,47.1718,47.2457,0.23777,0.0157738,0.0174287,0.874563,0.908471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Spectrometer Files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,File start time,File end time,Time file loaded,No of data points,No of channels,Channels,Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/E:/Boulder Postdoc/LA ICP MS/2023_11_14_AnthonyFuentes_hematite_upb_day2.b/Hem day 2.d/Hem day 2.csv,37:01.0,28:42.1,16:49.7,168247,7,Fe57;Pb204;Pb206;Pb207;Pb208;Th232;U238,Hem day 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser Log Files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,File start time,File end time,Time file loaded,Samples,Offset (s),Widths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
